url,label
https://www.google.com,0
https://www.github.com,0
https://www.wikipedia.org,0
https://www.microsoft.com,0
https://www.amazon.com,0
https://www.presidencyuniversity.in,0
https://stackoverflow.com,0
https://www.python.org,0
https://fastapi.tiangolo.com,0
https://redis.io,0
https://scikit-learn.org,0
https://www.linkedin.com,0
http://login.paypal.com.account-verify.secure-update.xyz,1
http://secure-bankofamerica.update-login-credential.com,1
http://account-google-security-verify.temp-web.net,1
http://appleid.apple.com.verify.account.info-security.top,1
http://192.168.1.1/login.php?update=true&user=admin,1
http://free-crypto-giveaway-claim-now.site,1
http://secure.signin.amazon.com-check.tk,1
http://verify-identity-netflix-payment.support-now.online,1
